City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Thompson,CA,2022-11-21 17:08:53,55.7435,-97.8558,4.3,90,61,5.44
68,Lillooet,CA,2022-11-21 17:10:36,50.6856,-121.942,35.74,90,64,1.72
69,Cairns,AU,2022-11-21 17:10:37,-16.9167,145.7667,81.07,86,63,2.3
70,Buin,CL,2022-11-21 17:10:37,-33.7333,-70.75,89.42,10,3,7.0
71,Kahului,US,2022-11-21 17:10:38,20.8947,-156.47,75.85,70,40,9.22
72,Biograd Na Moru,HR,2022-11-21 17:10:38,43.9433,15.4519,52.75,66,0,3.96
73,Cape Town,ZA,2022-11-21 17:10:38,-33.9258,18.4232,67.26,55,81,8.99
74,San Cristobal,VE,2022-11-21 17:10:39,7.7669,-72.225,69.98,61,100,1.41
75,Pacific Grove,US,2022-11-21 17:09:00,36.6177,-121.9166,60.51,59,0,0.0
76,New Norfolk,AU,2022-11-21 17:10:40,-42.7826,147.0587,40.71,73,42,3.0
77,Rio Gallegos,AR,2022-11-21 17:10:41,-51.6226,-69.2181,71.65,14,75,19.57
78,Lovozero,RU,2022-11-21 17:10:41,68.005,35.0117,18.39,93,19,4.27
79,Divicani,BA,2022-11-21 17:10:41,44.3667,17.3261,35.71,97,69,4.68
80,Manta,EC,2022-11-21 17:10:42,-0.95,-80.7333,77.76,63,95,9.28
81,Christchurch,NZ,2022-11-21 17:07:31,-43.5333,172.6333,59.2,46,82,13.8
82,Cabo San Lucas,MX,2022-11-21 17:10:43,22.8909,-109.9124,80.51,67,40,9.22
83,Ahipara,NZ,2022-11-21 17:08:33,-35.1667,173.1667,64.2,98,99,10.49
84,Ilhabela,BR,2022-11-21 17:10:43,-23.7781,-45.3581,79.59,69,21,5.97
85,Hobart,AU,2022-11-21 17:10:44,-42.8794,147.3294,41.05,82,40,13.8
86,Tiksi,RU,2022-11-21 17:10:44,71.6872,128.8694,-22.36,100,91,3.27
87,East London,ZA,2022-11-21 17:10:45,-33.0153,27.9116,71.78,79,57,10.89
88,Alice Springs,AU,2022-11-21 17:10:45,-23.7,133.8833,67.55,45,100,5.75
89,Viedma,AR,2022-11-21 17:10:45,-40.8135,-62.9967,69.58,18,0,11.27
90,Arraial Do Cabo,BR,2022-11-21 17:10:46,-22.9661,-42.0278,80.46,74,20,19.57
91,Vila Velha,BR,2022-11-21 17:11:46,-20.3297,-40.2925,78.75,82,75,10.36
92,Maibong,IN,2022-11-21 17:11:47,25.3,93.1667,62.42,84,58,0.69
93,Mar Del Plata,AR,2022-11-21 17:11:47,-38.0023,-57.5575,61.83,93,100,18.41
94,Sterling,US,2022-11-21 17:11:48,39.0062,-77.4286,45.12,33,0,14.97
95,Talipan,PH,2022-11-21 17:11:48,13.9333,121.6833,78.15,92,97,5.14
96,North Bend,US,2022-11-21 17:11:49,43.4065,-124.2243,44.51,81,0,8.05
97,Bredasdorp,ZA,2022-11-21 17:11:49,-34.5322,20.0403,64.65,60,84,9.33
98,Vestmannaeyjar,IS,2022-11-21 17:11:49,63.4427,-20.2734,45.59,81,75,28.77
99,Mackay,AU,2022-11-21 17:11:50,-21.15,149.2,76.68,85,98,7.83
100,Tilichiki,RU,2022-11-21 17:11:50,60.4667,166.1,-2.83,84,86,8.9
101,Lagoa,PT,2022-11-21 17:11:51,39.05,-27.9833,64.35,92,100,27.65
102,Ewa Beach,US,2022-11-21 17:11:51,21.3156,-158.0072,76.95,68,0,17.27
103,Fairbanks,US,2022-11-21 17:09:24,64.8378,-147.7164,15.6,86,40,0.0
104,Faya,SA,2022-11-21 17:11:52,18.3851,42.4509,61.32,50,63,8.95
105,Huilong,CN,2022-11-21 17:11:52,31.8111,121.655,63.23,87,98,12.75
106,Vrangel,RU,2022-11-21 17:11:53,42.7297,133.0839,33.76,51,0,11.07
107,Comodoro Rivadavia,AR,2022-11-21 17:10:23,-45.8667,-67.5,76.86,11,0,16.11
108,Saint-Philippe,RE,2022-11-21 17:11:53,-21.3585,55.7679,76.59,76,15,6.24
109,Vega De Alatorre,MX,2022-11-21 17:11:54,20.0333,-96.6333,67.06,84,83,13.87
110,Gillette,US,2022-11-21 17:10:06,44.2911,-105.5022,38.32,46,0,8.99
